128	The First Book of Moses: Called Genesis 3:16
129	The First Book of Moses: Called Genesis 3:16
130	The First Book of Moses: Called Genesis 3:17
131	The First Book of Moses: Called Genesis 3:17
132	The First Book of Moses: Called Genesis 3:17
133	The First Book of Moses: Called Genesis 3:18
134	The First Book of Moses: Called Genesis 3:18
135	The First Book of Moses: Called Genesis 3:19
136	The First Book of Moses: Called Genesis 3:19
137	The First Book of Moses: Called Genesis 3:19
138	The First Book of Moses: Called Genesis 3:20
139	The First Book of Moses: Called Genesis 3:20
140	The First Book of Moses: Called Genesis 3:21
141	The First Book of Moses: Called Genesis 3:22
142	The First Book of Moses: Called Genesis 3:22
143	The First Book of Moses: Called Genesis 3:23
144	The First Book of Moses: Called Genesis 3:24
145	The First Book of Moses: Called Genesis 3:24
146	The First Book of Moses: Called Genesis 4:1
147	The First Book of Moses: Called Genesis 4:1
148	The First Book of Moses: Called Genesis 4:2
149	The First Book of Moses: Called Genesis 4:2
150	The First Book of Moses: Called Genesis 4:3
151	The First Book of Moses: Called Genesis 4:4
152	The First Book of Moses: Called Genesis 4:4
153	The First Book of Moses: Called Genesis 4:5
154	The First Book of Moses: Called Genesis 4:5
155	The First Book of Moses: Called Genesis 4:6
156	The First Book of Moses: Called Genesis 4:6
157	The First Book of Moses: Called Genesis 4:7
158	The First Book of Moses: Called Genesis 4:7
159	The First Book of Moses: Called Genesis 4:7
160	The First Book of Moses: Called Genesis 4:8
161	The First Book of Moses: Called Genesis 4:8
162	The First Book of Moses: Called Genesis 4:9
163	The First Book of Moses: Called Genesis 4:9
164	The First Book of Moses: Called Genesis 4:9
165	The First Book of Moses: Called Genesis 4:10
166	The First Book of Moses: Called Genesis 4:10
167	The First Book of Moses: Called Genesis 4:11
168	The First Book of Moses: Called Genesis 4:12
169	The First Book of Moses: Called Genesis 4:12
170	The First Book of Moses: Called Genesis 4:13
171	The First Book of Moses: Called Genesis 4:14
172	The First Book of Moses: Called Genesis 4:14
173	The First Book of Moses: Called Genesis 4:14
174	The First Book of Moses: Called Genesis 4:14
175	The First Book of Moses: Called Genesis 4:15
176	The First Book of Moses: Called Genesis 4:15
177	The First Book of Moses: Called Genesis 4:16
178	The First Book of Moses: Called Genesis 4:17
179	The First Book of Moses: Called Genesis 4:17
180	The First Book of Moses: Called Genesis 4:17
181	The First Book of Moses: Called Genesis 4:18
