EBER_THE	NAMIR	JOKTAN
HE_THAT_SHALL	UNTAR	ME
YE	FORASMUCH	ZEALOUS_OF
SEEING	UNDERSTANDETH	THOU_SAYEST
THEREFORE_THE	COME	THERE
ALL_THINGS_BE	DONIR	EDIFYING
IF_THERE_BE	INTERPRETER	TO_GOD
ALL_THINGS_BE	DONE	AND
THAT	WAS	BURIED
SOME_ARE	FALLEN	ASLEEP
AND_BECAUSE	HABER	WHOM
THEY_ALSO	FALLEN	PERISHED
TILL	HATH	FEET
LAST_ENEMY_THAT_SHALL	DESTROYED	DEATH
FOR	HATH	FEET
WHY_STAND_IN_JEOPARDY	EVERY	HOUR
MY	FORASMUCH	IS_NOT_VAIN
FOR	HAR	DO
MAY	COME	ME
YE_STAND	QUIT	LIKE_MEN
ALL_YOUR_THINGS_BE	DONE	CHARITY
THEN_IS_AND	DECLARAR	UNTO
BUT	THAT_HIS	IS_AND
CHILDREN_IT_AND	ANTICHRIST	ARE
HAVE	WOULD	US
THIS_IS	HATH	US
THINGS_HAVE_I_WRITTEN	SEDUCIR	YOU
SINNETH	SEAR	KNOWN_HIM
CHILDREN_LET	THAT	IS_RIGHTEOUS
IS_BORN_OF_GOD	CANNOT	IS
BECAUSE	LAID	LIFE_FOR_AND
AND	THAT_HIS	DWELLETH
GOD	SENT	ONLY
GOD	SEAR	HATH
SHALL_CONFESS_THAT_JESUS	ES	GOD_GOD
FOR	THAT	NOT
THAT	ES	GOD
IF_WE_KNOW_THAT	HEAR	WE_ASK
ADONIJAH_THE	ES	HAGGITH_EXALTED_HIMSELF
THEN	PREPARED	AND_AND
SAID_TO_HIM	ES	AFTER
WILL_BE	CONSIDERED	CRIMINALS
YOUR	SERVANT	THE_PRIEST
AND	BRING	GIHON
ZADOK_THE_PRIEST_NATHAN	MULAR	BROUGHT_HIM_TO_GIHON
WHILE	ES	ABIATHAR_CAME_AND_COME
KING	SENT	ZADOK
THUS_THE_BLESSED_WHO	GIVIR	EYES_EVEN_SEEING_IT
YAHWEH_MAY	ESTABLISH	WHICH
GUILTLESS_FOR_AND	BRING	SHEOL_WITH_BLOOD
ADONIJAH_THE	ES	HAGGITH_CAME_TO
WHICH	SPOKE	ELI
JOAB	FLED	YAHWEH’S_TENT
KING_SAID_TO_HIM	SAID	JOAB_SHED_WITHOUT_CAUSE
KING_PUT_BENAIAH	ES	JEHOIADA_PLACE_AND
MY_LORD_THE_KING	SAID_SO	YOUR
THAT	SACRIFICED	PLACES
SOLOMON	OFFERED	BURNT_OFFERINGS_ON
YAHWEH	APPEARED	GOD_SAID_ASK
HAVE_MADE_YOUR	SERVANT	DAVID_MY_FATHER
THIS	REQUEST	LORD
BEHOLD	BEIR	LIKE_WILL
SOLOMON	AWOKE	BEHOLD
AND	OFFERED	OFFERINGS
YOUR	SERVANT	AND
ABINADAB	HAD	TAPHATH
GEBER_THE	ES	MANASSEH
FOR	HAD	TIPHSAH_OVER
AND	HAD	PEACE
FOR	WAS	HIS_FAME
KING_OF_TYRE	SENT	FOR
YAHWEH	GIVIR	EVERY_SIDE
WHO	GIVIR	WISE
GAVE_SOLOMON_AS	PROMISED	HIM
AND_AND	PREPARED	TIMBER_AND_HOUSE
WAS	CEDAR	WITH
SO	MADE	AND
GOLD_ON_AND	HAR	SPREAD
FOR	HABER	THE
WAS_COVERED_WITH	CEDAR	ROW
AND	WAS	WORK_ALL_WORKS_BRASS
TO	BRING	IS_ZION
PRIESTS_AND	THESE	UP
YAHWEH	SAID	THAT
NEVERTHELESS	ES	SHALL
HIS_WORD_THAT	SPOKE	I_HAVE
MOREOVER	CONCERNING	FOREIGNER_WHO
WHEN	COMES	SAKE
AS	WAS	OUR_FATHERS
OFFERED_WHICH	OFFERED	YAHWEH_TWENTY_AND
SAME_DAY_FOR	OFFERED	BURNT_OFFERING_AND_AND
YAHWEH	APPEARED	SOLOMON_THE_SECOND_TIME
THEN	HABER	MILLO
SO	FINISHED	THE
HIRAM	SENT_IN	THE_SERVANTS_OF_SOLOMON
CAMELS	BORAR	WHEN_SHE_HAD
I_DIDN’T_BELIEVE_THE	SEAR	IT
WERE_OF_SILVER_BECAUSE	CONSIDERED	LITTLE_VALUE_THE
AND_THAT	KEPT	AT
I_WILL_NOT_BUT	ES	DAVID_SAKE_AND
CERTAIN	SERVANTS	GO_INTO_EGYPT
SISTER_OF_TAHPENES	BORAR	HIS
GOD	ES	ELIADA_WHO_HADADEZER
BUT	HAR	HAVE_CHOSEN
SHALL_BE_AND	SERVANT	DID
SLEPT_WITH_HIS_AND	ES	REIGNED
JEROBOAM_THE	ES	NEBAT
FOR	WAS	EGYPT
WHERE	HAD	THE
