ahinadab	zephaniah	5
allon	joiarib	2
amariah	adaiah	4
amariah	ahab	3
amariah	ahilud	4
amariah	ahitub	3
amariah	asa	4
amariah	baaseiah	6
amariah	baruch	4
amariah	cushi	3
amariah	eliashib	3
amariah	hakkatan	3
amariah	hilkiah	2
amariah	hoshaiah	2
amariah	imri	5
amariah	jehallelel	2
amariah	jehoram	2
amariah	jehoshaphat	3
amariah	jeroham	2
amariah	jeshishai	6
amariah	johanan	2
amariah	joiarib	5
amariah	kareah	3
amariah	kolaiah	4
amariah	maaseiah	3
amariah	michael	5
amariah	nathan	2
amariah	neriah	5
amariah	obed	2
amariah	oded	2
amariah	omri	4
amariah	paruah	4
amariah	zadok	2
amariah	zephaniah	2
amashsai	jeroham	2
amaziah	adaiah	6
amaziah	ahab	3
amaziah	ahaziah	2
amaziah	ahilud	5
amaziah	amon	4
amaziah	asa	5
amaziah	baaseiah	6
amaziah	baruch	6
amaziah	cushi	5
amaziah	hanani	4
amaziah	imri	5
amaziah	jehoahaz	2
amaziah	jehoram	3
amaziah	jehoshaphat	4
amaziah	jehu	3
amaziah	jeroham	7
amaziah	jeshishai	6
amaziah	joiarib	7
amaziah	joshibiah	4
amaziah	josiah	3
amaziah	kolaiah	4
amaziah	maaseiah	5
amaziah	michael	5
amaziah	neriah	7
amaziah	nimshi	4
amaziah	omri	4
amaziah	paruah	5
amaziah	zephaniah	4
amnon	jesse	2
asaph	asa	2
asaph	meshillemoth	2
azariah	adaiah	3
azariah	ahab	2
azariah	ahilud	3
azariah	ahitub	2
azariah	asa	3
azariah	baaseiah	5
azariah	baruch	3
azariah	cushi	2
azariah	eliashib	2
azariah	hakkatan	2
azariah	imri	4
azariah	jehoshaphat	2
azariah	jeshishai	5
azariah	joiarib	4
azariah	kareah	2
azariah	kolaiah	3
azariah	maaseiah	2
azariah	michael	4
azariah	neriah	4
azariah	omri	3
azariah	paruah	3
azrikam	adaiah	8
azrikam	ahab	5
azrikam	ahaziah	4
azrikam	ahilud	7
azrikam	amaziah	2
azrikam	amon	6
azrikam	asa	7
azrikam	baaseiah	8
azrikam	baruch	8
azrikam	cushi	7
azrikam	hanani	6
azrikam	imri	7
azrikam	jehoahaz	4
azrikam	jehoram	5
azrikam	jehoshaphat	6
azrikam	jehu	5
azrikam	jeroham	9
azrikam	jeshishai	8
azrikam	joash	3
azrikam	joiarib	9
azrikam	joshibiah	6
azrikam	josiah	5
azrikam	kemuel	2
azrikam	kolaiah	6
azrikam	maaseiah	7
azrikam	mattaniah	2
azrikam	mica	3
azrikam	michael	7
azrikam	neriah	9
azrikam	nimshi	6
azrikam	omri	6
azrikam	paruah	7
azrikam	shiphtan	3
azrikam	zephaniah	6
baasha	ahitub	2
christ	jesse	2
coniah	adaiah	5
coniah	amon	3
coniah	baruch	5
coniah	cushi	4
coniah	jeroham	6
coniah	joiarib	6
coniah	josiah	2
coniah	maaseiah	4
coniah	neriah	6
coniah	zephaniah	3
delaiah	hasshub	2
delaiah	mattaniah	2
delaiah	mica	3
delaiah	nethanel	2
delaiah	zuar	3
ebed	abdi	4
ebed	abiathar	2
ebed	abiel	4
ebed	ahimelech	3
ebed	ahitub	4
ebed	asahel	2
ebed	cis	3
ebed	gershom	2
ebed	kish	3
ebed	malluch	5
ebed	saul	2
ebed	shagee	2
ebed	shimea	2
ebed	uzziah	2
ebiasaph	alphaeus	5
ebiasaph	israel	5
ebiasaph	izhar	2
ebiasaph	kohath	3
ebiasaph	levi	4
eden	asa	4
eden	asaph	2
eden	berechiah	3
eden	joahaz	2
eden	meshillemoth	4
eden	zimmah	2
elah	ahijah	2
elah	ahitub	3
elah	bani	2
elasah	azaliah	2
eleazar	eli	2
elhanan	adaiah	12
elhanan	ahab	9
elhanan	ahaz	4
elhanan	ahaziah	8
elhanan	ahilud	11
elhanan	amon	10
elhanan	asa	11
elhanan	baaseiah	12
elhanan	baruch	12
elhanan	cushi	11
elhanan	hanani	10
elhanan	hezekiah	3
elhanan	imri	11
elhanan	israel	4
elhanan	jehoahaz	8
elhanan	jehoram	9
elhanan	jehoshaphat	10
elhanan	jehu	9
elhanan	jeroham	13
elhanan	jerubbaal	6
elhanan	jeshishai	12
elhanan	joash	7
elhanan	joiarib	13
elhanan	joseph	3
elhanan	joshibiah	10
elhanan	josiah	9
elhanan	jotham	5
elhanan	kolaiah	10
elhanan	maaseiah	11
elhanan	manasseh	2
elhanan	michael	11
elhanan	neriah	13
elhanan	nimshi	10
elhanan	omri	10
elhanan	paruah	11
elhanan	uzziah	6
elhanan	zephaniah	10
eliasaph	basemath	2
eliasaph	ibnijah	2
