CONTEXTRESOLVEPRONOUN	RETORNA	SYMBOL_ID
CONTEXTSTEPTURN	RECIBE_PARAMETRO	CTX
CONTEXTSTEPTURN	RETORNA	VOID
CONTEXT_ENTITY	TIENE_CAMPO	ACTIVATION
CONTEXT_ENTITY	TIENE_CAMPO	GENDER
CONTEXT_ENTITY	TIENE_CAMPO	NUMBER
CONTEXT_ENTITY	TIENE_CAMPO	SYMBOL
CONTEXT_ENTITY	TIENE_CAMPO	TURNS_AGO
CONTEXT_ENTITY	TIENE_CAMPO	TYPE
CONTEXT_ENTITY	TIENE_CAMPO	WAS_SUBJECT
CONTRADICTION_REPORT	TIENE_CAMPO	HAS_CONFLICT
CONTRADICTION_REPORT	TIENE_CAMPO	NEGATIVE_EVIDENCE
CONTRADICTION_REPORT	TIENE_CAMPO	NEGATIVE_WEIGHT
CONTRADICTION_REPORT	TIENE_CAMPO	POSITIVE_EVIDENCE
CONTRADICTION_REPORT	TIENE_CAMPO	POSITIVE_WEIGHT
COS	RETORNA	COSENO
COUNT	ES_TIPO	UINT32_T
COUNT	ES_TIPO	UINT64_T
CTX	ES_TIPO	CONST
CTX	ES_TIPO	CONTEXT
DECAY_FACTOR	ES_TIPO	FLOAT
DECAY_RATE	ES_TIPO	FLOAT
DEPTH	ES_TIPO	UINT32_T
DESABORDAMIENTO	CAUSA	BUG
DFSPROVE	RETORNA	INT
DIALOG	DECLARA_FUNCION	DIALOGCLASSIFY
DIALOG	DECLARA_FUNCION	DIALOGGENERATERESPONSE
DIALOG	DEFINE_ENUM	SPEECH_ACT_FAREWELL
DIALOG	DEFINE_ENUM	SPEECH_ACT_GRATITUDE
DIALOG	DEFINE_ENUM	SPEECH_ACT_GREETING
DIALOG	DEFINE_ENUM	SPEECH_ACT_QUERY_FACT
DIALOG	DEFINE_ENUM	SPEECH_ACT_QUERY_WHAT_IS
DIALOG	DEFINE_ENUM	SPEECH_ACT_QUERY_WHY
DIALOG	DEFINE_ENUM	SPEECH_ACT_STATEMENT
DIALOG	DEFINE_ENUM	SPEECH_ACT_UNKNOWN
DIALOG	IMPLEMENTA	DIALOGCLASSIFY
DIALOG	IMPLEMENTA	DIALOGGENERATERESPONSE
DIALOG	IMPLEMENTA	GETUNKNOWNRESPONSE
DIALOG	IMPLEMENTA	STRTOUPPER
DIALOG	INCLUYE	CONTEXT
DIALOG	INCLUYE	GRAPH
DIALOG	INCLUYE	INFERENCE
DIALOG	INCLUYE	STDDEF
DIALOG	INCLUYE	STDINT
DIALOGCLASSIFY	RECIBE_PARAMETRO	INPUT
DIALOGCLASSIFY	RETORNA	DIALOG_INTENT
DIALOGGENERATERESPONSE	RECIBE_PARAMETRO	CTX
DIALOGGENERATERESPONSE	RECIBE_PARAMETRO	GRAPH
DIALOGGENERATERESPONSE	RECIBE_PARAMETRO	MAX_LEN
DIALOGGENERATERESPONSE	RECIBE_PARAMETRO	OUT_RESPONSE
DIALOGGENERATERESPONSE	RECIBE_PARAMETRO	USER_INPUT
DIALOGGENERATERESPONSE	RETORNA	INT
DIALOGUE	DECLARA_FUNCION	DIALOGUECLASSIFY
DIALOGUE	DECLARA_FUNCION	DIALOGUERESPOND
DIALOGUE	DECLARA_FUNCION	HANDLED
DIALOGUE	DEFINE_ENUM	ACT_AGREEMENT
DIALOGUE	DEFINE_ENUM	ACT_APOLOGY
DIALOGUE	DEFINE_ENUM	ACT_CAPABILITY_QUERY
DIALOGUE	DEFINE_ENUM	ACT_CONFUSION
DIALOGUE	DEFINE_ENUM	ACT_DISAGREEMENT
DIALOGUE	DEFINE_ENUM	ACT_FAREWELL
DIALOGUE	DEFINE_ENUM	ACT_GREETING
DIALOGUE	DEFINE_ENUM	ACT_IDENTITY_QUERY
DIALOGUE	DEFINE_ENUM	ACT_NONE
DIALOGUE	DEFINE_ENUM	ACT_QUESTION
DIALOGUE	DEFINE_ENUM	ACT_STATEMENT
DIALOGUE	DEFINE_ENUM	ACT_THANKS
DIALOGUE	IMPLEMENTA	CONTAINSWORD
DIALOGUE	IMPLEMENTA	DIALOGUECLASSIFY
DIALOGUE	IMPLEMENTA	DIALOGUERESPOND
DIALOGUE	IMPLEMENTA	TOLOWER
DIALOGUE	INCLUYE	STDINT
DIALOGUECLASSIFY	RECIBE_PARAMETRO	INPUT
DIALOGUECLASSIFY	RETORNA	DIALOGUE_INTENT
DIALOGUERESPOND	RECIBE_PARAMETRO	ACT
DIALOGUERESPOND	RECIBE_PARAMETRO	INPUT
DIALOGUERESPOND	RECIBE_PARAMETRO	OUT
DIALOGUERESPOND	RECIBE_PARAMETRO	OUT_SIZE
DIALOGUERESPOND	RETORNA	INT
DIALOGUE_INTENT	TIENE_CAMPO	ACT
DIALOGUE_INTENT	TIENE_CAMPO	CONFIDENCE
DIALOG_INTENT	TIENE_CAMPO	ACT
DIALOG_INTENT	TIENE_CAMPO	IS_SOCIAL_ONLY
DOUBLE	ES_TIPO	DECIMAL_DOBLE
DUMPCONTEXT	RETORNA	VOID
DUMPGRAPH	RETORNA	VOID
ELAPSED_SECONDS	ES_TIPO	DOUBLE
EMBEDDING	DECLARA_FUNCION	EMBEDDINGCOOCCUR
EMBEDDING	DECLARA_FUNCION	EMBEDDINGCOSINESIMILARITY
EMBEDDING	DECLARA_FUNCION	EMBEDDINGFINDSIMILAR
EMBEDDING	DECLARA_FUNCION	EMBEDDINGNORMALIZE
EMBEDDING	DECLARA_FUNCION	EMBEDDINGRANDOMINIT
EMBEDDING	DECLARA_FUNCION	EMBEDDINGSETVECTOR
EMBEDDING	DECLARA_FUNCION	EMBEDDINGTABLEDESTROY
EMBEDDING	DEFINE_CONSTANTE	EMBEDDING_DIM
EMBEDDING	IMPLEMENTA	COMPAREMATCHES
EMBEDDING	IMPLEMENTA	EMBEDDINGCOOCCUR
EMBEDDING	IMPLEMENTA	EMBEDDINGCOSINESIMILARITY
EMBEDDING	IMPLEMENTA	EMBEDDINGFINDSIMILAR
EMBEDDING	IMPLEMENTA	EMBEDDINGNORMALIZE
EMBEDDING	IMPLEMENTA	EMBEDDINGRANDOMINIT
EMBEDDING	IMPLEMENTA	EMBEDDINGSETVECTOR
